datetime,count,month,year
2010-01-01,6,January,2010
2010-01-02,3,January,2010
2010-01-03,4,January,2010
2010-01-04,4,January,2010
2010-01-05,2,January,2010
2010-01-06,10,January,2010
2010-01-07,6,January,2010
2010-01-08,7,January,2010
2010-01-09,3,January,2010
2010-01-10,2,January,2010
2010-01-11,6,January,2010
2010-01-12,8,January,2010
2010-01-13,4,January,2010
2010-01-14,6,January,2010
2010-01-15,9,January,2010
2010-01-16,13,January,2010
2010-01-17,5,January,2010
2010-01-18,6,January,2010
2010-01-19,11,January,2010
2010-01-20,6,January,2010
2010-01-21,11,January,2010
2010-01-22,19,January,2010
2010-01-23,2,January,2010
2010-01-24,2,January,2010
2010-01-25,3,January,2010
2010-01-26,3,January,2010
2010-01-27,8,January,2010
2010-01-28,2,January,2010
2010-01-29,3,January,2010
2010-01-30,10,January,2010
2010-01-31,2,January,2010
2010-02-01,8,February,2010
2010-02-02,10,February,2010
2010-02-03,8,February,2010
2010-02-04,9,February,2010
2010-02-05,8,February,2010
2010-02-06,7,February,2010
2010-02-07,5,February,2010
2010-02-08,7,February,2010
2010-02-09,7,February,2010
2010-02-10,6,February,2010
2010-02-11,9,February,2010
2010-02-12,5,February,2010
2010-02-13,9,February,2010
2010-02-14,2,February,2010
2010-02-15,8,February,2010
2010-02-16,3,February,2010
2010-02-17,7,February,2010
2010-02-18,6,February,2010
2010-02-19,9,February,2010
2010-02-20,6,February,2010
2010-02-21,2,February,2010
2010-02-22,11,February,2010
2010-02-23,3,February,2010
2010-02-24,15,February,2010
2010-02-25,5,February,2010
2010-02-26,4,February,2010
2010-02-27,7,February,2010
2010-02-28,12,February,2010
2010-03-01,8,March,2010
2010-03-02,8,March,2010
2010-03-03,7,March,2010
2010-03-04,12,March,2010
2010-03-05,3,March,2010
2010-03-06,6,March,2010
2010-03-07,5,March,2010
2010-03-08,8,March,2010
2010-03-09,9,March,2010
2010-03-10,8,March,2010
2010-03-11,4,March,2010
2010-03-12,5,March,2010
2010-03-13,3,March,2010
2010-03-14,5,March,2010
2010-03-15,7,March,2010
2010-03-16,8,March,2010
2010-03-17,2,March,2010
2010-03-18,5,March,2010
2010-03-19,4,March,2010
2010-03-20,4,March,2010
2010-03-21,5,March,2010
2010-03-22,6,March,2010
2010-03-23,6,March,2010
2010-03-24,5,March,2010
2010-03-25,6,March,2010
2010-03-26,3,March,2010
2010-03-27,7,March,2010
2010-03-28,8,March,2010
2010-03-29,2,March,2010
2010-03-30,3,March,2010
2010-03-31,11,March,2010
2010-04-01,7,April,2010
2010-04-02,6,April,2010
2010-04-03,4,April,2010
2010-04-04,2,April,2010
2010-04-05,5,April,2010
2010-04-06,12,April,2010
2010-04-07,6,April,2010
2010-04-08,2,April,2010
2010-04-09,5,April,2010
2010-04-10,1,April,2010
2010-04-11,6,April,2010
2010-04-12,2,April,2010
2010-04-13,1,April,2010
2010-04-14,10,April,2010
2010-04-15,5,April,2010
2010-04-16,1,April,2010
2010-04-17,1,April,2010
2010-04-18,3,April,2010
2010-04-19,3,April,2010
2010-04-20,3,April,2010
2010-04-21,3,April,2010
2010-04-22,12,April,2010
2010-04-23,2,April,2010
2010-04-24,3,April,2010
2010-04-25,5,April,2010
2010-04-26,7,April,2010
2010-04-27,4,April,2010
2010-04-28,7,April,2010
2010-04-29,12,April,2010
2010-04-30,12,April,2010
2010-05-01,7,May,2010
2010-05-02,5,May,2010
2010-05-03,16,May,2010
2010-05-04,9,May,2010
2010-05-05,6,May,2010
2010-05-06,5,May,2010
2010-05-07,18,May,2010
2010-05-08,13,May,2010
2010-05-09,6,May,2010
2010-05-10,7,May,2010
2010-05-11,12,May,2010
2010-05-12,4,May,2010
2010-05-13,5,May,2010
2010-05-14,3,May,2010
2010-05-15,5,May,2010
2010-05-16,7,May,2010
2010-05-17,1,May,2010
2010-05-18,9,May,2010
2010-05-19,15,May,2010
2010-05-20,9,May,2010
2010-05-21,10,May,2010
2010-05-22,5,May,2010
2010-05-23,11,May,2010
2010-05-24,3,May,2010
2010-05-25,6,May,2010
2010-05-26,24,May,2010
2010-05-27,3,May,2010
2010-05-28,6,May,2010
